"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,year
"Senzatela, Antonio",622608,COL,FF,4-Seam Fastball,-0.4,-2,635,55.9,165,0.313,0.46,0.374,11.8,9.1,10.3,0.307,0.458,0.363,45.9,2020
"Lynn, Lance",458681,TEX,FF,4-Seam Fastball,0.7,5,700,49.8,165,0.207,0.413,0.309,29.4,27.9,21.6,0.211,0.396,0.293,36.2,2020
"Cole, Gerrit",543037,NYY,FF,4-Seam Fastball,1.1,7,632,52.5,157,0.226,0.466,0.323,25.9,22.3,19.9,0.228,0.476,0.322,47.7,2020
"Giolito, Lucas",608337,CWS,FF,4-Seam Fastball,1.7,11,614,50.6,152,0.201,0.306,0.263,29.0,31.6,22.5,0.221,0.362,0.29,46.1,2020
"Valdez, Framber",664285,HOU,SI,Sinker,0.1,1,579,55.2,152,0.333,0.428,0.367,13.2,7.9,14.6,0.307,0.489,0.378,55.8,2020
"Cease, Dylan",656302,CWS,FF,4-Seam Fastball,-1.3,-7,519,47.8,151,0.254,0.5,0.4,17.2,13.9,13.9,0.308,0.539,0.425,42.2,2020
"Heaney, Andrew",571760,LAA,FF,4-Seam Fastball,0.4,3,627,57.8,149,0.267,0.481,0.361,25.2,24.2,18.5,0.254,0.487,0.35,44.3,2020
"Glasnow, Tyler",607192,TB,FF,4-Seam Fastball,0.4,2,584,60.6,145,0.246,0.46,0.349,23.9,22.8,24.3,0.241,0.469,0.346,46.8,2020
"Davies, Zach",605200,SD,CH,Changeup,2.6,12,436,41.3,142,0.176,0.331,0.232,35.9,28.9,27.2,0.253,0.437,0.307,29.2,2020
"Singer, Brady",663903,KC,SI,Sinker,1.3,8,613,57.2,142,0.236,0.317,0.298,18.3,25.4,20.9,0.223,0.343,0.298,39.8,2020
"Ray, Robbie",592662,TOR,FF,4-Seam Fastball,-3.1,-16,504,47.4,141,0.292,0.689,0.479,19.9,17.7,17.5,0.283,0.594,0.448,50.6,2020
"Lamet, Dinelson",659275,SD,SL,Slider,3.2,18,559,53.4,138,0.08,0.12,0.149,47.6,51.4,33.5,0.096,0.16,0.17,27.8,2020
"Javier, Cristian",664299,HOU,FF,4-Seam Fastball,0.5,3,560,63.0,136,0.208,0.442,0.322,19.5,19.1,17.8,0.214,0.415,0.314,36.8,2020
"Bauer, Trevor",545333,CIN,FF,4-Seam Fastball,1.9,10,552,47.4,134,0.172,0.336,0.265,22.4,36.6,27.5,0.154,0.324,0.243,43.8,2020
"Gausman, Kevin",592332,SF,FF,4-Seam Fastball,0.7,3,498,51.1,132,0.28,0.458,0.365,24.5,24.2,23.5,0.29,0.5,0.373,44.8,2020
"Paddack, Chris",663978,SD,FF,4-Seam Fastball,-1.7,-9,560,58.2,131,0.308,0.658,0.418,20.9,19.8,16.7,0.307,0.595,0.4,57.3,2020
"Voth, Austin",608723,WSH,FF,4-Seam Fastball,-2.3,-13,545,60.9,131,0.33,0.67,0.472,17.8,15.3,13.1,0.306,0.592,0.415,51.6,2020
"Boyd, Matthew",571510,DET,FF,4-Seam Fastball,-1.4,-8,546,50.3,130,0.322,0.643,0.438,17.5,13.1,13.2,0.3,0.565,0.4,42.4,2020
"Urías, Julio",628711,LAD,FF,4-Seam Fastball,1.6,8,489,55.9,128,0.193,0.325,0.275,25.7,20.3,19.7,0.209,0.398,0.303,37.1,2020
"Castillo, Luis",622491,CIN,CH,Changeup,0.4,1,346,30.0,128,0.205,0.359,0.286,40.1,40.6,28.7,0.169,0.269,0.232,23.1,2020
"Weaver, Luke",596133,AZ,FF,4-Seam Fastball,-0.8,-4,523,54.0,127,0.313,0.583,0.411,20.2,22.8,16.5,0.26,0.509,0.352,49.4,2020
"Williams, Trevor",592866,PIT,FF,4-Seam Fastball,-1.0,-4,434,42.7,127,0.27,0.586,0.416,17.3,18.9,16.1,0.264,0.514,0.373,44.8,2020
"Gibson, Kyle",502043,TEX,SI,Sinker,-3.6,-14,405,35.6,127,0.362,0.543,0.47,11.4,13.4,17.3,0.33,0.529,0.425,47.7,2020
"Lyles, Jordan",543475,TEX,FF,4-Seam Fastball,-2.1,-9,432,43.5,126,0.33,0.651,0.468,8.5,4.8,6.5,0.286,0.565,0.408,44.7,2020
"Eflin, Zach",621107,PHI,SI,Sinker,-0.2,-1,472,51.7,125,0.31,0.469,0.378,19.1,25.6,26.0,0.238,0.369,0.301,35.4,2020
"Wheeler, Zack",554430,PHI,FF,4-Seam Fastball,1.2,6,472,43.8,125,0.293,0.397,0.326,20.2,14.4,14.2,0.284,0.392,0.319,41.4,2020
"Scherzer, Max",453286,WSH,FF,4-Seam Fastball,0.3,1,558,46.0,124,0.264,0.509,0.366,28.8,28.2,23.5,0.288,0.565,0.393,52.6,2020
"Márquez, Germán",608566,COL,FF,4-Seam Fastball,-1.0,-5,472,38.5,123,0.333,0.505,0.436,15.1,7.3,8.9,0.314,0.487,0.395,40.6,2020
"Houser, Adrian",605288,MIL,SI,Sinker,2.1,8,403,43.7,123,0.229,0.33,0.317,20.6,14.6,19.6,0.259,0.344,0.312,35.2,2020
"Manaea, Sean",640455,ATH,SI,Sinker,0.4,2,439,54.1,119,0.301,0.451,0.351,15.8,16.0,17.6,0.289,0.451,0.337,54.3,2020
"Gonzales, Marco",594835,SEA,FF,4-Seam Fastball,2.9,14,479,45.4,115,0.196,0.259,0.224,16.7,22.6,20.8,0.254,0.377,0.282,32.6,2020
"Hendricks, Kyle",543294,CHC,CH,Changeup,2.0,7,326,28.3,115,0.232,0.339,0.265,28.9,21.7,18.5,0.208,0.291,0.223,18.2,2020
"Porcello, Rick",519144,NYM,SI,Sinker,-0.5,-2,418,42.6,115,0.324,0.486,0.403,8.8,20.0,24.2,0.278,0.444,0.343,39.0,2020
"Minor, Mike",501985,ATH,FF,4-Seam Fastball,1.1,5,496,50.7,114,0.23,0.36,0.317,24.4,18.4,15.0,0.243,0.46,0.345,44.3,2020
"Margevicius, Nick",676606,SEA,FF,4-Seam Fastball,-0.1,0,436,64.2,114,0.269,0.529,0.368,16.1,16.7,16.0,0.288,0.534,0.376,45.9,2020
"Valdez, Framber",664285,HOU,CU,Curveball,2.3,8,351,33.5,114,0.124,0.229,0.202,41.9,52.6,37.0,0.137,0.214,0.195,31.1,2020
